,Number of Television,"Number of Car, Jeep, Van",Number of Stove with Oven/Gas Range,House Floor Area,House Age,Number of bedrooms,Electricity,Total Number of Family members,Total number of family members employed,Household Head Sex,Household Head Age,Agricultural Household indicator,Total Household Income,All_Food_Expenses,Going_Out_Expenses,Shopping_Expenses,Necessary_Expenses,Miscellaneous_Expenses,total
860,1,0,0,45,15,2,1,8,4,Male,42,0,17.2023,19.9746,0.486,0.4629,2.8475,1.2322,25.0032
861,0,0,0,52,5,3,1,11,3,Female,49,0,23.316,16.4221,0.27,0.2725,9.8168,2.2296,29.011
862,0,0,0,40,5,1,0,10,0,Male,47,1,8.9809,16.3515,0.302,0.8165,2.1994,0.4332,20.1026
863,2,0,0,29,5,2,1,6,2,Male,48,0,21.2164,20.2085,0.799,1.5995,5.7134,2.2104,30.5308
864,1,0,0,32,5,2,1,6,1,Female,55,0,11.7807,13.3578,0.665,0.4855,2.8993,1.0468,18.4544
865,0,0,0,30,6,0,1,3,2,Female,65,1,21.6999,10.2866,0.621,0.3388,13.28,0.7096,25.236
866,1,0,0,38,12,2,1,5,3,Male,67,1,13.9936,14.2476,0.245,0.388,2.5221,0.5724,17.9751
867,1,0,0,20,5,1,1,4,1,Female,47,0,8.1006,9.7672,0.465,0.138,1.8247,0.4394,12.6343
868,0,0,0,30,3,1,1,2,0,Female,74,1,4.8397,4.7514,0.148,0.1165,1.3044,0.2908,6.6111
869,1,0,0,48,25,2,1,3,0,Male,61,1,8.874,11.5747,0.04,0.5417,1.6489,0.3508,14.1561
870,1,0,0,28,7,1,1,4,1,Male,63,1,7.5012,15.0656,0.745,0.1794,2.6376,0.4952,19.1228
871,0,0,0,25,6,1,1,2,1,Male,64,1,4.7686,5.6481,0.036,0.0175,1.1288,0.1602,6.9906
872,1,0,0,35,25,2,1,3,3,Male,50,0,23.5347,15.6661,5.508,0.384,8.8136,2.3644,32.7361
873,0,0,0,30,21,2,0,6,2,Male,47,0,14.645,17.2337,0.8885,0.738,2.3473,0.4178,21.6253
874,1,0,0,42,11,2,1,9,1,Male,63,0,27.7002,22.0983,1.359,0.4225,5.8038,1.0536,30.7372
875,1,1,1,48,13,4,1,2,1,Male,62,0,63.4643,38.5875,1.149,1.0575,11.6305,5.1392,57.5637
876,1,1,0,35,15,2,1,4,2,Male,59,0,78.1605,24.6299,0.758,0.9445,6.0498,3.2472,35.6294
877,1,0,0,21,7,2,1,9,2,Male,52,1,14.2184,26.9541,0.065,0.7901,3.4939,0.7476,32.0507
878,0,0,0,28,43,2,1,2,1,Male,67,1,5.3537,6.3213,0.358,0.054,1.0434,0.4632,8.2399
879,0,0,0,24,5,0,0,4,2,Male,44,0,8.7082,6.9304,0.729,0.2216,2.5053,0.7116,11.0979
880,1,0,0,28,8,3,1,8,1,Male,47,0,22.2985,13.0833,0.928,1.1229,4.8877,1.8052,21.8271
881,1,0,0,25,17,1,1,5,2,Male,43,1,9.1722,7.9559,0.2086,0.4324,2.1754,0.5709,11.3432
882,1,0,0,32,5,2,1,9,6,Male,47,0,12.4504,13.3922,0.373,0.3965,2.5988,0.8062,17.5667
883,0,0,0,54,41,2,1,8,2,Male,64,0,37.3733,22.0567,1.393,0.3853,8.25,4.0618,36.1468
884,0,0,0,32,6,2,1,5,2,Female,73,0,12.655,13.0376,0.424,0.5095,3.2864,2.2286,19.4861
885,1,0,0,30,20,2,1,4,1,Male,57,0,13.0352,10.8666,0.7243,0.9886,4.882,1.585,19.0465
886,2,0,0,26,15,1,1,2,0,Male,56,1,50.8366,14.737,0.858,1.1975,3.8586,5.9962,26.6473
887,0,0,0,22,15,2,1,2,0,Male,71,0,6.9189,5.7523,0.0086,1.2493,1.1768,0.3828,8.5698
888,1,0,0,35,6,2,1,11,1,Male,51,0,11.7166,14.5099,0.6116,0.755,2.0553,1.1758,19.1076
889,0,0,0,25,5,1,0,8,1,Male,40,1,9.2564,11.2138,0.1637,0.4235,1.2527,0.3306,13.3843
890,0,0,0,40,5,1,0,9,2,Male,45,1,8.3936,12.1118,0.304,0.349,1.327,0.5709,14.6627
891,0,0,0,25,6,2,1,4,3,Female,59,1,6.0609,5.7031,0.189,0.741,1.6692,0.4309,8.7332
892,0,0,0,28,5,1,0,4,2,Male,40,1,4.9855,6.6111,0.127,0.211,1.052,0.3079,8.309
893,1,0,0,28,5,0,1,5,1,Male,62,0,11.2662,11.1897,0.422,1.4235,1.2144,1.095,15.3446
894,0,0,0,36,5,2,1,8,2,Male,52,0,15.3619,16.835,0.4187,0.827,1.311,0.8296,20.2213
895,0,0,0,28,7,1,0,2,0,Male,26,1,6.3195,8.6716,0.6094,0.4825,0.9171,0.3122,10.9928
896,1,0,0,45,8,2,1,6,1,Male,51,0,9.8855,9.3628,0.3337,1.1134,1.4397,0.4012,12.6508
897,1,0,0,40,20,2,1,9,2,Male,48,0,13.35,15.9032,0.5053,0.6945,1.8414,0.9771,19.9215
898,0,0,0,23,10,0,1,4,0,Male,54,0,8.9682,8.6703,1.1163,0.25,1.7434,0.2635,12.0435
899,1,0,0,25,17,3,1,6,1,Male,62,1,20.3542,13.3084,0.926,0.208,2.0185,3.3457,19.8066
900,0,0,0,32,5,2,1,11,2,Male,58,0,15.8596,18.6378,0.5377,1.2465,1.9047,0.8604,23.1871
901,0,0,0,32,5,2,1,8,1,Male,44,1,12.4648,15.0718,0.7553,0.446,1.3662,0.5202,18.1595
902,0,0,0,26,5,1,0,5,1,Male,80,0,7.7141,8.7538,0.081,1.4204,1.27,0.4458,11.971
903,0,0,0,25,14,1,1,7,2,Male,37,0,7.6683,10.9825,0.6535,0.601,1.0667,0.7876,14.0913
904,0,0,0,35,29,2,1,4,1,Male,44,1,12.0766,11.376,0.7665,0.9706,8.525,1.4164,23.0545
905,0,0,0,24,11,1,0,8,1,Male,40,1,5.5488,8.9375,0.1788,0.273,0.7748,0.3344,10.4985
906,1,0,1,48,26,4,1,6,2,Male,53,0,40.3672,17.274,1.096,0.4819,9.0106,3.2954,31.1579
