Number of Television,Number of Car,Number of Stove with Oven/Gas Range,House Floor Area,House Age,Number of bedrooms,Electricity,Total Number of Family members,Total number of family members employed,Household Head Sex,Household Head Age,Agricultural Household indicator,Total Household Income,Total Food Expenditure,Medical Care Expenditure,Education Expenditure,Housing and water Expenditure,Miscellaneous Goods and Services Expenditure
1,0,0,30,12,1,1,7,1,Male,36,0,16.608,11.0462,0.0401,0.06,2.268,0.5226
1,0,0,70,40,3,1,5,4,Male,42,0,37.2972,16.4802,0.409,0.385,4.0614,2.31
1,0,0,40,50,1,1,2,0,Female,65,0,30.0324,7.954,0.038,0,2.0766,1.4124
1,0,0,45,4,2,1,6,1,Male,38,0,16.8498,7.7667,0.043,0.028,2.0412,2.1126
1,0,0,35,8,1,1,2,0,Female,55,1,6.8425,5.3517,0,0,1.1844,0.2334
1,0,0,45,21,3,1,3,2,Male,52,0,15.1545,8.6841,0.005,1.01,2.985,0.5604
1,0,0,20,2,1,1,2,1,Male,72,0,13.8688,6.2562,1.0583,0,2.07,1.6326
1,0,0,25,2,1,1,4,3,Male,48,1,9.6695,7.7461,0.1,0.587,1.56,0.5886
1,0,0,60,13,2,1,2,1,Male,62,0,37.9622,8.9011,0.095,1.8,3.6948,2.9328
1,0,0,30,4,2,1,5,3,Male,50,1,14.7342,8.395,0.015,0.02,1.722,0.3846
0,0,0,60,70,0,1,6,3,Female,60,0,17.444,9.2792,0.0204,0,0.9918,0.537
1,0,0,60,39,2,1,2,0,Female,77,0,22.3295,9.2989,1.49,0.69,2.766,0.3432
1,0,0,40,1,2,1,3,0,Male,65,1,10.6805,7.4452,0.0175,0.6,1.77,0.4206
0,0,0,30,4,0,0,7,3,Male,50,1,10.1045,9.7535,0.297,0.015,0.927,0.3726
1,0,0,42,10,2,1,4,0,Male,36,1,10.1814,8.1093,0.1036,0.015,1.44,0.2442
0,0,0,40,26,2,1,3,0,Male,31,0,10.9955,6.4116,0.2298,0.108,1.335,0.2838
1,0,0,50,1,4,1,3,0,Female,83,0,39.11,11.5092,0.36,0,3.03,0.5094
1,0,0,35,14,2,1,8,1,Male,65,1,11.1495,8.4215,0,0.023,1.3632,0.4908
1,0,0,35,5,2,1,6,3,Male,46,0,16.0114,8.1805,0.11,0.15,1.17,0.9078
1,0,0,30,6,0,1,4,0,Male,35,0,14.541,8.0552,0.0257,0.03,1.4322,0.7056
0,0,0,35,41,2,1,12,2,Male,38,1,16.608,13.4812,0.106,0.02,1.173,0.4854
0,0,0,35,23,0,1,7,2,Male,53,0,14.941,10.8269,0.411,0,1.041,0.3294
1,0,0,30,20,0,1,8,1,Male,43,0,12.3308,9.355,0.026,0,1.3008,0.4548
1,0,0,40,2,0,1,6,1,Male,53,0,28.012,12.5385,0.1729,1,2.19,0.4062
1,0,0,35,67,2,1,8,1,Female,86,1,11.7005,8.9572,0.043,0,1.2366,0.4596
1,0,0,35,40,2,1,5,0,Male,38,0,11.422,8.1598,0.024,0.022,1.3512,0.675
1,0,0,50,18,2,1,3,0,Male,83,0,29.8126,6.0346,0.4,0,2.31,0.4482
1,0,0,100,16,3,1,5,1,Male,38,0,48.5633,13.8744,0.0496,2.205,3.1242,3.8436
0,0,0,30,15,1,1,4,1,Male,41,0,9.2782,8.4402,0.14,0.063,1.35,0.4548
1,0,0,30,12,1,1,6,0,Male,64,1,13.6934,8.6715,0.015,0.03,1.062,0.5232
0,0,0,25,20,1,1,1,0,Female,79,0,5.0561,2.1156,0.005,0,0.72,0.1032
0,0,0,24,2,1,1,3,2,Female,69,0,10.9428,5.4897,0.01,0,0.84,0.324
1,0,0,42,28,1,1,6,1,Male,45,1,13.3765,9.1565,0.0685,0.03,1.2924,0.4722
1,0,0,49,13,1,1,2,1,Male,30,0,12.811,6.6834,0.047,0.03,1.299,0.4008
0,0,0,35,7,1,0,6,2,Male,35,0,11.1815,8.3929,0.012,0.03,1.5012,0.5322
1,0,0,30,5,1,1,2,1,Female,29,0,9.2715,6.1157,0.01,0.029,1.632,0.423
1,0,0,35,22,1,1,4,2,Male,58,0,14.665,7.7453,0.0245,0.026,1.926,0.687
2,0,0,40,11,3,1,3,0,Male,39,0,29.32,11.6176,0.0725,0.45,4.602,0.5076
0,0,0,30,3,1,1,3,0,Male,36,0,17.9704,7.8527,0.012,0.015,1.7034,0.3588
1,0,0,30,1,1,1,4,3,Male,56,0,15.262,6.7808,0.01,0.015,1.3794,0.39
0,0,0,30,23,1,1,3,3,Male,55,1,7.2175,7.5561,0.1,0,1.068,0.4416
0,0,0,30,2,1,0,4,1,Male,46,0,10.544,5.1361,0,0.036,0.9282,0.303
1,0,0,50,65,3,1,4,2,Female,85,0,13.0495,7.1274,0.012,0,1.8126,0.408
1,0,0,48,19,2,1,7,4,Male,46,0,13.0825,10.5283,0.0164,0.9,1.875,0.6924
1,0,0,49,20,2,1,2,0,Male,71,0,7.7635,3.9704,0.068,0,1.125,0.222
0,0,0,30,6,1,1,3,2,Male,48,0,11.157,5.8107,0.073,0,1.3194,0.369
1,0,0,50,20,3,1,4,1,Female,35,0,12.116,7.8639,0.0776,0.005,2.5518,0.4746
0,0,0,30,1,1,0,5,2,Male,36,0,9.6125,7.7282,0.012,0.141,0.9882,0.5304
1,0,0,40,1,1,1,6,1,Male,41,0,37.9828,9.2768,0.1025,0.05,1.695,3.1482
0,0,0,35,30,1,1,8,2,Male,65,1,14.692,7.1753,0,0,1.3074,0.3378
1,0,0,40,24,2,1,4,0,Male,56,0,21.47,6.969,0.005,0.79,2.7654,0.7896
1,0,0,96,7,3,1,3,0,Male,54,0,23.9598,7.5131,0.1224,0.9,3.1536,0.7938
1,0,0,30,4,0,1,1,0,Female,80,0,6.9635,1.7781,0.03,0,0.93,0.0672
1,0,0,30,45,2,1,1,0,Female,83,0,11.636,3.1647,0.015,0,1.326,0.1512
0,0,0,30,1,1,1,4,0,Male,32,0,18.1498,6.115,0.006,0.075,1.2672,0.4374
1,0,0,30,11,2,1,3,0,Male,42,0,14.869,7.653,0.005,0.06,1.8144,0.4476
0,0,0,30,21,1,1,3,2,Female,55,1,12.98,5.1564,0,0.015,1.2738,0.3096
0,0,0,48,35,2,1,6,1,Male,35,1,16.34,8.8741,0.015,0.095,1.9008,0.5772
0,0,0,30,12,1,1,4,2,Male,37,0,7.212,6.7218,0.022,0.06,1.4046,0.4086
1,0,0,42,16,1,1,6,2,Male,35,0,25.978,11.5255,0.038,0.083,2.7672,0.93
