,fold,margin,knowledge,learning_rate,batch_size,epochs,validation_loss,runtime,num_iterations
0,2,"[0.3, 0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,583.1576617367803,2557.0953516960144,400
0,3,"[0.3, 0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,418.130120954332,2705.9930646419525,400
0,4,"[0.3, 0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,48.274483664831145,2469.362250804901,600
0,5,"[0.3, 0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,416.30761473229484,4719.236455202103,700
0,1,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,64.37917097232679,3127.6414103507996,900
0,2,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,103.09579041402249,3361.85471701622,1000
0,3,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,69.75529614130271,3448.924591064453,900
0,4,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,60.78287924356969,3805.891462802887,1016
0,5,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,61.92463085099721,2055.31462430954,600
0,1,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,67.18036104743791,2388.4007773399353,600
0,2,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,84.13712380603263,2313.392769098282,700
0,3,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,71.22027323183353,2635.8160135746,600
0,4,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,61.54363372811473,2139.375974178314,600
0,5,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,59.61981761855186,2233.693650007248,500
0,1,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,231.8561158106245,2236.2642521858215,400
0,2,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,95.7942854608106,2268.728955745697,500
0,3,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,189.7868393993365,2669.6496312618256,400
0,4,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,63.93271940410615,1851.4128139019012,400
0,5,[0.1],"[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,133.65703801195727,2771.0335726737976,500
0,1,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,69.77575680010902,3006.136157989502,800
0,2,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,104.78678315951258,2534.1395037174225,700
0,3,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,71.69878573598608,2277.616811990738,600
0,4,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,64.68757941719943,3294.2737641334534,900
0,5,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,64.90540315013223,2923.5176496505737,800
0,1,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,92.73270802951404,2673.3694586753845,600
0,2,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,231.6779279211508,2002.1173958778381,400
0,3,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,63.20810292848157,2178.1004724502563,500
0,4,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,65.5542237236713,2942.052403450012,700
0,5,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",1,5,10,64.01929377341322,2774.820860147476,600
0,1,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,306.4006666161532,2414.826986551285,400
0,2,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,92.85817178772427,2895.1794712543488,600
0,3,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,63.48966338120865,3178.413954257965,600
0,4,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,58.593077770115904,2199.68461728096,600
0,5,"[0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",2,5,10,315.2771526754457,2438.899638414383,400
0,1,"[0.3, 0.2, 0.1]","[-0.008243927321455928, 0.0056115494666502804, 0]",0.5,5,10,66.73664380754624,3166.7738206386566,900
